127.0.0.1 - - [20/Feb/2017:09:32:32 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:37 +0530] "GET /SalarySystem/Login.jsp HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:37 +0530] "GET /SalarySystem/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:37 +0530] "GET /SalarySystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:37 +0530] "GET /SalarySystem/js/easyResponsiveTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:37 +0530] "GET /SalarySystem/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:38 +0530] "GET /SalarySystem/fonts/Nunito-Light.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "POST /SalarySystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:32:55 +0530] "GET /SalarySystem/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:36:19 +0530] "POST /SalarySystem/AddEmployeeServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:36:19 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8481
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:39 +0530] "GET /SalarySystem/employeeList.jsp HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:45 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:47 +0530] "GET /SalarySystem/employeeLeaves.jsp HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:50 +0530] "GET /SalarySystem/employeeOffDeskLeaves.jsp HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:52 +0530] "GET /SalarySystem/employeeOffDeskLeaves.jsp HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:54 +0530] "GET /SalarySystem/setEmpRank.jsp HTTP/1.1" 200 5870
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:54 +0530] "GET /SalarySystem/raterater.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:54 +0530] "GET /SalarySystem/raterater.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:54 +0530] "GET /SalarySystem/SetPerformance HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:54 +0530] "GET /SalarySystem/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:45:59 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:01 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:02 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:03 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:03 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:05 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:07 +0530] "GET /SalarySystem/test?empId=7&rating=1 HTTP/1.1" 200 16
