127.0.0.1 - - [25/Feb/2017:12:38:11 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/Login.jsp HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/js/easyResponsiveTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:14 +0530] "GET /SalarySystem/fonts/Nunito-Light.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:28 +0530] "POST /SalarySystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:28 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:29 +0530] "GET /SalarySystem/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:41 +0530] "GET /SalarySystem/employeeLeaves.jsp HTTP/1.1" 200 6036
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:44 +0530] "GET /SalarySystem/employeeOffDeskLeaves.jsp HTTP/1.1" 200 5465
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:46 +0530] "GET /SalarySystem/setEmpRank.jsp HTTP/1.1" 200 5870
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:46 +0530] "GET /SalarySystem/raterater.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:46 +0530] "GET /SalarySystem/raterater.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:46 +0530] "GET /SalarySystem/SetPerformance HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:46 +0530] "GET /SalarySystem/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:49 +0530] "GET /SalarySystem/employeeWorking.jsp HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:51 +0530] "GET /SalarySystem/setEmpRank.jsp HTTP/1.1" 200 5870
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:38:51 +0530] "GET /SalarySystem/SetPerformance HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:39:03 +0530] "GET /SalarySystem/test?empId=4&rating=3 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:39:09 +0530] "GET /SalarySystem/Login.jsp HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:40:25 +0530] "POST /SalarySystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:40:25 +0530] "GET /SalarySystem/home.jsp HTTP/1.1" 200 3538
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:40:25 +0530] "GET /SalarySystem/fonts/slide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:41:03 +0530] "GET /SalarySystem/addLeaveRequest.jsp HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:41:03 +0530] "GET /SalarySystem/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:41:06 +0530] "GET /SalarySystem/addOffDeskRequest.jsp HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [25/Feb/2017:12:41:10 +0530] "GET /SalarySystem/Login.jsp HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:07:31 +0530] "POST /SalarySystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:07:31 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:07:39 +0530] "GET /SalarySystem/employeeList.jsp HTTP/1.1" 200 6968
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:07:43 +0530] "GET /SalarySystem/addEmployee.jsp HTTP/1.1" 200 8417
