127.0.0.1 - - [06/Feb/2017:15:05:46 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:50 +0530] "GET /EmployeeManagement/Login.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:50 +0530] "GET /EmployeeManagement/js/jquery.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:50 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 200 11469
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:50 +0530] "GET /EmployeeManagement/js/easyResponsiveTabs.js HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:51 +0530] "GET /EmployeeManagement/images/1.jpg HTTP/1.1" 200 710128
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:51 +0530] "GET /EmployeeManagement/fonts/Nunito-Light.ttf HTTP/1.1" 200 48576
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:05:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "POST /EmployeeManagement/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/addEmployee.jsp HTTP/1.1" 200 11258
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/js/bootstrap-datepicker.js HTTP/1.1" 200 59171
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/JSNew/jquery-1.12.4-jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/css/bootstrap.min.css HTTP/1.1" 200 102897
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/js/bootstrap.min.js HTTP/1.1" 200 27749
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:02 +0530] "GET /EmployeeManagement/css/sb-admin.css HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:06:03 +0530] "GET /EmployeeManagement/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/addEmployee.jsp HTTP/1.1" 200 11287
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/css/bootstrap.min.css HTTP/1.1" 200 102897
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/JSNew/jquery-1.12.4-jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/js/bootstrap-datepicker.js HTTP/1.1" 200 59171
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/css/sb-admin.css HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [06/Feb/2017:15:32:40 +0530] "GET /EmployeeManagement/js/bootstrap.min.js HTTP/1.1" 200 27749
